seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,156,1.0,0.25,0.0,90616.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.25,0.25,90617.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.25,0.75,90618.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.25,1.5,90619.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.5,0.0,90616.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.5,0.25,90617.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.5,0.75,90618.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.5,1.5,90619.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,1.0,0.0,90616.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,1.0,0.25,90617.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,1.0,0.75,90618.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,1.0,1.5,90619.70385971852,"[1144, 2080]",9.505997610685881
17,26,0.1,0.0,0.0,90580.07713369792,"[1144, 2236]",27.658636392647168
17,26,0.1,0.0,0.25,90580.57713369792,"[1144, 2236]",27.658636392647168
17,26,0.1,0.0,0.75,90581.57713369792,"[1144, 2236]",27.658636392647168
17,26,0.1,0.0,1.5,90583.07713369792,"[1144, 2236]",27.658636392647168
17,26,0.1,0.25,0.0,90580.07713369792,"[1144, 2236]",27.658636392647168
