seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
17,26,4.0,0.0,90579.39085502323,"[2132, 2158]",1.3173839483497432
17,26,4.0,0.5,90579.89085502323,"[2132, 2158]",0.8173839483497432
17,26,4.0,1.0,90580.39085502323,"[2132, 2158]",0.31738394834974315
17,26,4.0,2.0,90580.70823897158,"[2392, 2418]",0.6826160516502568
17,52,0.5,0.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,52,0.5,0.5,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,52,0.5,1.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,52,0.5,2.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,52,1.0,0.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,52,1.0,0.5,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,52,1.0,1.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,52,1.0,2.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,52,2.0,0.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,52,2.0,0.5,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,52,2.0,1.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,52,2.0,2.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,52,4.0,0.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,52,4.0,0.5,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,52,4.0,1.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,52,4.0,2.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,104,0.5,0.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,104,0.5,0.5,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,104,0.5,1.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,104,0.5,2.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,104,1.0,0.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,104,1.0,0.5,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,104,1.0,1.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,104,1.0,2.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,104,2.0,0.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,104,2.0,0.5,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,104,2.0,1.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,104,2.0,2.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,104,4.0,0.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,104,4.0,0.5,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,104,4.0,1.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,104,4.0,2.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,156,0.5,0.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,156,0.5,0.5,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,156,0.5,1.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,156,0.5,2.0,90580.87713369793,"[1144, 2236]",2.1330058890307555
17,156,1.0,0.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,156,1.0,0.5,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,156,1.0,1.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,156,1.0,2.0,90581.87713369793,"[1144, 2236]",2.1330058890307555
17,156,2.0,0.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,156,2.0,0.5,90583.87713369793,"[1144, 2236]",2.1330058890307555
